Accident_ID,Date,Time,State,City,Latitude,Longitude,Vehicle_Type,Number_of_Vehicles_Involved,Weather_Condition,Road_Type,Road_Surface_Condition,Light_Condition,Speed_Limit,Driver_Age,Driver_Gender,Severity,Fatalities,Serious_Injuries,Minor_Injuries,Total_Casualties
ACC00025,2022-07-21,02:12:24,Rajasthan,Rajasthan City 3,26.355939,75.444798,Pedestrian,3,Foggy,Highway,Wet,Dark - Lit,40,70,Female,Minor,0,0,3,3
ACC00026,2022-10-15,15:21:36,Uttar Pradesh,Uttar Pradesh City 3,26.076166,81.466407,Bus,3,Clear,City Road,Dry,Dawn/Dusk,80,34,Male,Minor,0,0,2,2
ACC00027,2022-04-14,23:44:37,Madhya Pradesh,Madhya Pradesh City 1,23.370589,78.767324,Two-Wheeler,4,Cloudy,City Road,Wet,Dawn/Dusk,60,26,Female,Serious,0,1,1,2
ACC00028,2023-03-14,14:36:05,Andhra Pradesh,Andhra Pradesh City 1,16.497438,80.815076,Car,4,Foggy,Expressway,Dry,Dawn/Dusk,50,36,Female,Minor,0,0,2,2
ACC00029,2023-08-08,15:24:04,Telangana,Telangana City 5,17.655998,77.80853,Bicycle,1,Foggy,Expressway,Wet,Dark - Lit,50,56,Male,Serious,0,3,2,5
ACC00030,2022-04-30,21:05:14,Telangana,Telangana City 5,18.815648,78.147215,Two-Wheeler,3,Cloudy,Rural Road,Dry,Daylight,80,52,Female,Fatal,1,2,1,4
ACC00031,2024-10-26,19:20:15,Uttar Pradesh,Uttar Pradesh City 1,28.296505,80.999908,Auto-Rickshaw,1,Clear,Highway,Wet,Daylight,80,65,Male,Minor,0,0,2,2
ACC00032,2023-04-27,14:42:03,Tamil Nadu,Tamil Nadu City 5,11.529304,78.177089,Car,3,Foggy,Bridge/Flyover,Muddy,Daylight,80,33,Male,Fatal,1,0,1,2
ACC00033,2024-05-08,23:56:03,Punjab,Punjab City 5,32.202785,76.646905,Auto-Rickshaw,4,Cloudy,Rural Road,Under Construction,Dark - Lit,100,37,Female,Fatal,2,0,1,3
ACC00034,2023-05-04,09:40:14,Rajasthan,Rajasthan City 2,27.510505,72.735185,Bicycle,4,Clear,Rural Road,Icy,Dark - Unlit,30,19,Male,Serious,0,2,0,2
ACC00035,2024-07-27,22:36:56,Punjab,Punjab City 1,30.177776,73.894226,Two-Wheeler,2,Clear,Bridge/Flyover,Wet,Dark - Unlit,40,37,Female,Serious,0,1,0,1
ACC00036,2022-05-21,08:53:38,Gujarat,Gujarat City 3,22.92282,70.614182,Car,4,Clear,Expressway,Muddy,Dark - Unlit,80,68,Male,Minor,0,0,3,3
ACC00037,2023-09-06,03:46:17,Andhra Pradesh,Andhra Pradesh City 2,16.179613,81.176679,Truck,3,Cloudy,Highway,Dry,Dark - Lit,50,44,Female,Serious,0,2,1,3
ACC00038,2023-03-08,12:29:02,Karnataka,Karnataka City 3,15.327911,75.940712,Auto-Rickshaw,4,Cloudy,Expressway,Under Construction,Daylight,30,65,Female,Minor,0,0,1,1
ACC00039,2023-07-21,01:36:18,Maharashtra,Maharashtra City 3,20.555662,74.340811,Pedestrian,4,Stormy,City Road,Under Construction,Dark - Lit,100,46,Female,Minor,0,0,3,3
ACC00040,2024-05-25,20:25:19,Maharashtra,Maharashtra City 1,19.360476,74.25637,Two-Wheeler,4,Clear,City Road,Muddy,Daylight,50,63,Male,Minor,0,0,2,2
ACC00041,2024-05-30,04:38:24,Maharashtra,Maharashtra City 3,19.133347,75.365293,Truck,3,Clear,Highway,Under Construction,Dark - Lit,100,20,Male,Fatal,3,0,1,4
ACC00042,2022-07-30,12:52:37,Bihar,Bihar City 5,24.784074,86.342639,Pedestrian,3,Rainy,Expressway,Muddy,Dark - Lit,40,41,Male,Minor,0,0,1,1
ACC00043,2022-12-29,15:00:40,Maharashtra,Maharashtra City 2,21.220162,74.630252,Bicycle,3,Clear,Rural Road,Icy,Dark - Lit,50,43,Male,Minor,0,0,3,3
ACC00044,2022-08-10,13:55:40,Haryana,Haryana City 1,29.667452,75.668473,Pedestrian,1,Clear,Expressway,Wet,Dark - Lit,60,43,Female,Serious,0,1,0,1
ACC00045,2023-09-18,08:17:11,Karnataka,Karnataka City 1,14.064783,74.225555,Bicycle,4,Cloudy,City Road,Icy,Dark - Unlit,50,18,Male,Serious,0,1,0,1
ACC00046,2023-07-26,12:47:05,Kerala,Kerala City 5,11.737378,77.440016,Bus,3,Clear,Bridge/Flyover,Under Construction,Daylight,30,51,Female,Minor,0,0,2,2
ACC00047,2023-01-01,21:08:19,Delhi,Delhi City 1,29.216078,76.584458,Two-Wheeler,2,Rainy,Bridge/Flyover,Icy,Dark - Unlit,100,39,Female,Minor,0,0,3,3
ACC00048,2024-06-12,22:04:17,Madhya Pradesh,Madhya Pradesh City 1,21.582045,79.627802,Bus,2,Rainy,Bridge/Flyover,Wet,Dark - Unlit,30,54,Female,Serious,0,2,0,2
ACC00049,2022-01-04,18:55:46,Andhra Pradesh,Andhra Pradesh City 5,15.224629,81.135755,Bicycle,3,Clear,City Road,Under Construction,Dawn/Dusk,30,62,Female,Minor,0,0,1,1
ACC00050,2023-10-05,04:32:14,Telangana,Telangana City 3,18.231905,79.43229,Auto-Rickshaw,4,Clear,Rural Road,Icy,Dark - Unlit,60,67,Female,Minor,0,0,2,2
ACC00051,2022-09-18,06:59:04,Rajasthan,Rajasthan City 4,25.643203,73.916463,Bicycle,3,Clear,City Road,Muddy,Dark - Unlit,60,72,Male,Minor,0,0,2,2
ACC00052,2023-09-15,10:26:46,Karnataka,Karnataka City 4,16.707945,76.71794,Pedestrian,1,Foggy,Bridge/Flyover,Muddy,Dark - Unlit,60,18,Female,Minor,0,0,2,2
ACC00053,2024-06-24,07:46:50,Madhya Pradesh,Madhya Pradesh City 4,22.797057,77.879362,Pedestrian,2,Foggy,City Road,Dry,Dark - Unlit,80,57,Female,Minor,0,0,1,1
ACC00054,2022-07-11,08:33:04,Kerala,Kerala City 3,11.321334,76.077019,Car,1,Clear,City Road,Wet,Daylight,30,29,Male,Fatal,1,0,0,1
ACC00055,2024-08-31,22:15:20,Haryana,Haryana City 1,27.920494,75.615639,Bus,4,Clear,Expressway,Muddy,Dark - Lit,100,66,Female,Serious,0,3,0,3
ACC00056,2024-10-09,14:33:03,Karnataka,Karnataka City 2,15.930974,75.632521,Bicycle,2,Cloudy,Highway,Dry,Dawn/Dusk,40,38,Male,Minor,0,0,2,2
ACC00057,2024-11-26,16:54:49,Maharashtra,Maharashtra City 5,19.644021,76.159321,Car,2,Rainy,Highway,Icy,Dark - Lit,60,22,Female,Minor,0,0,1,1
ACC00058,2024-06-25,22:18:21,Haryana,Haryana City 5,30.360309,76.09312,Bus,4,Foggy,Bridge/Flyover,Icy,Dark - Lit,100,21,Female,Fatal,3,1,1,5
ACC00059,2024-07-10,09:26:12,Bihar,Bihar City 2,23.679534,85.567327,Pedestrian,3,Cloudy,Rural Road,Muddy,Dawn/Dusk,100,29,Male,Serious,0,3,1,4
ACC00060,2023-07-17,16:00:54,Tamil Nadu,Tamil Nadu City 3,11.004759,78.79685,Car,1,Rainy,Rural Road,Under Construction,Dark - Unlit,80,18,Male,Minor,0,0,1,1
ACC00061,2022-10-11,05:29:29,Karnataka,Karnataka City 4,14.641883,74.853767,Bicycle,2,Clear,City Road,Wet,Daylight,60,68,Female,Fatal,2,2,1,5
ACC00062,2023-11-09,19:45:21,West Bengal,West Bengal City 4,23.457168,87.51619,Two-Wheeler,2,Clear,City Road,Icy,Dawn/Dusk,80,51,Male,Serious,0,3,0,3
ACC00063,2024-02-19,17:21:58,Maharashtra,Maharashtra City 3,18.604494,76.300211,Truck,1,Stormy,Expressway,Icy,Dark - Lit,60,73,Male,Minor,0,0,3,3
ACC00064,2023-07-13,15:52:05,West Bengal,West Bengal City 1,22.336104,86.892319,Bus,1,Rainy,Rural Road,Icy,Dark - Lit,60,52,Male,Serious,0,1,0,1
ACC00065,2024-12-29,00:58:54,Andhra Pradesh,Andhra Pradesh City 4,16.151632,80.84135,Auto-Rickshaw,4,Cloudy,Bridge/Flyover,Dry,Daylight,100,66,Female,Fatal,2,0,0,2
ACC00066,2022-10-05,16:48:35,Uttar Pradesh,Uttar Pradesh City 1,26.064708,80.583187,Truck,1,Rainy,Expressway,Under Construction,Dark - Lit,60,65,Female,Serious,0,3,0,3
ACC00067,2023-11-23,13:48:12,Delhi,Delhi City 4,29.88657,76.767605,Truck,4,Hazy,Highway,Icy,Daylight,100,36,Male,Minor,0,0,1,1
ACC00068,2023-12-18,08:09:49,Kerala,Kerala City 1,12.220403,76.80031,Pedestrian,4,Rainy,Highway,Dry,Dark - Lit,40,64,Male,Minor,0,0,3,3
ACC00069,2022-11-09,08:41:06,Uttar Pradesh,Uttar Pradesh City 4,26.229632,80.435994,Bicycle,3,Clear,Highway,Muddy,Dark - Lit,60,70,Female,Minor,0,0,1,1
ACC00070,2024-01-26,06:06:32,Punjab,Punjab City 5,29.923618,75.323261,Bicycle,3,Hazy,Highway,Wet,Dark - Unlit,30,22,Male,Serious,0,1,2,3
ACC00071,2023-10-01,20:57:50,Kerala,Kerala City 4,11.467494,77.675956,Bus,1,Cloudy,City Road,Dry,Dark - Lit,30,61,Female,Serious,0,1,2,3
ACC00072,2022-09-05,20:36:17,Bihar,Bihar City 1,25.702907,84.028289,Truck,2,Cloudy,Bridge/Flyover,Icy,Dark - Unlit,30,19,Female,Fatal,2,2,1,5
ACC00073,2022-01-26,15:17:37,Haryana,Haryana City 4,28.259684,76.333916,Two-Wheeler,1,Clear,Expressway,Under Construction,Dawn/Dusk,100,69,Male,Minor,0,0,1,1
ACC00074,2024-06-10,06:24:46,Telangana,Telangana City 5,19.568003,79.780135,Bicycle,2,Foggy,Rural Road,Muddy,Dawn/Dusk,60,36,Female,Minor,0,0,3,3
ACC00075,2023-07-04,11:44:05,Haryana,Haryana City 2,28.832666,77.309063,Pedestrian,3,Clear,Highway,Under Construction,Dawn/Dusk,40,62,Female,Serious,0,2,2,4
ACC00076,2024-02-16,12:14:52,Maharashtra,Maharashtra City 4,18.41891,74.566454,Pedestrian,1,Cloudy,Rural Road,Wet,Dawn/Dusk,40,56,Female,Minor,0,0,2,2
ACC00077,2023-06-14,12:23:28,Delhi,Delhi City 5,28.400669,77.033145,Bicycle,1,Cloudy,Rural Road,Muddy,Daylight,80,55,Male,Serious,0,1,1,2
ACC00078,2022-06-25,08:47:15,Telangana,Telangana City 4,16.646463,80.429636,Bus,1,Clear,Bridge/Flyover,Wet,Dawn/Dusk,100,33,Female,Minor,0,0,2,2
ACC00079,2024-07-06,00:37:40,Tamil Nadu,Tamil Nadu City 3,12.387347,77.918971,Car,3,Hazy,Expressway,Wet,Dark - Unlit,100,35,Female,Minor,0,0,3,3
ACC00080,2024-08-27,20:09:04,Madhya Pradesh,Rajasthan City 3,23.557246,78.523623,Bus,1,Clear,Bridge/Flyover,Icy,Dark - Unlit,100,46,Female,Minor,0,0,1,1
ACC00081,2023-07-09,11:09:49,Delhi,Delhi City 2,30.076107,75.773592,Two-Wheeler,2,Rainy,City Road,Under Construction,Daylight,100,45,Male,Fatal,1,2,1,4
ACC00082,2023-01-28,07:52:41,Telangana,Telangana City 4,17.174363,78.911095,Truck,2,Clear,Bridge/Flyover,Muddy,Dark - Unlit,30,45,Male,Minor,0,0,2,2
ACC00083,2023-08-30,08:16:56,Gujarat,Gujarat City 2,21.53985,71.049723,Truck,3,Rainy,Highway,Muddy,Dark - Lit,50,50,Male,Minor,0,0,1,1
ACC00084,2022-04-22,20:08:49,Delhi,Delhi City 2,29.254194,76.087851,Bicycle,2,Clear,Expressway,Dry,Daylight,80,23,Female,Minor,0,0,1,1
ACC00085,2024-08-19,17:25:46,West Bengal,West Bengal City 3,22.744729,89.158185,Car,2,Rainy,Highway,Under Construction,Dawn/Dusk,30,22,Male,Fatal,1,2,0,3
ACC00086,2024-03-31,17:54:14,Tamil Nadu,Tamil Nadu City 5,11.962807,78.60111,Bicycle,3,Clear,Highway,Wet,Dark - Lit,80,38,Female,Minor,0,0,1,1
ACC00087,2022-06-24,09:02:10,Tamil Nadu,Tamil Nadu City 5,12.117493,78.867244,Pedestrian,1,Rainy,Expressway,Muddy,Dark - Lit,80,52,Female,Serious,0,1,1,2
ACC00088,2024-07-11,16:07:08,Delhi,Delhi City 5,27.369126,78.194167,Bus,1,Rainy,Rural Road,Muddy,Daylight,80,22,Male,Minor,0,0,1,1
ACC00089,2023-03-02,22:46:27,Karnataka,Karnataka City 3,15.998363,76.481244,Bicycle,3,Clear,Highway,Wet,Dark - Lit,40,31,Male,Fatal,1,2,0,3
ACC00090,2022-11-17,00:05:50,Rajasthan,Rajasthan City 4,28.382153,74.538524,Bicycle,2,Cloudy,Bridge/Flyover,Icy,Dark - Unlit,30,57,Male,Minor,0,0,1,1
ACC00091,2023-08-14,10:17:36,Telangana,Telangana City 4,18.62472,79.080923,Two-Wheeler,2,Cloudy,City Road,Under Construction,Dark - Lit,60,67,Male,Serious,0,3,2,5
ACC00092,2023-04-06,23:34:46,Uttar Pradesh,Uttar Pradesh City 3,27.979961,80.660449,Pedestrian,4,Rainy,City Road,Dry,Daylight,40,40,Female,Fatal,2,0,1,3
ACC00093,2023-08-15,15:59:20,Tamil Nadu,Tamil Nadu City 4,11.742239,77.798892,Bicycle,2,Rainy,Rural Road,Icy,Dark - Unlit,80,51,Female,Serious,0,1,1,2
ACC00094,2024-06-15,02:55:43,Punjab,Punjab City 1,31.559933,75.504447,Bus,3,Stormy,Rural Road,Muddy,Dark - Unlit,30,69,Male,Minor,0,0,2,2
ACC00095,2023-04-14,20:56:32,Punjab,Punjab City 1,32.000959,75.029628,Pedestrian,3,Rainy,Rural Road,Muddy,Daylight,40,34,Female,Minor,0,0,1,1
ACC00096,2024-11-28,23:43:14,West Bengal,West Bengal City 3,23.796753,86.558708,Car,1,Hazy,Bridge/Flyover,Icy,Dawn/Dusk,30,70,Female,Fatal,2,0,1,3
ACC00097,2023-12-14,14:52:03,Gujarat,Gujarat City 3,22.660203,70.410437,Bicycle,3,Rainy,Highway,Wet,Dark - Unlit,60,40,Female,Minor,0,0,2,2
ACC00098,2023-08-14,14:34:48,Haryana,Haryana City 5,28.760901,76.683003,Two-Wheeler,4,Clear,Expressway,Dry,Dark - Unlit,50,73,Female,Minor,0,0,3,3
ACC00099,2022-08-26,14:42:56,Haryana,Haryana City 5,29.105708,77.509331,Pedestrian,1,Clear,Highway,Muddy,Dawn/Dusk,60,36,Male,Minor,0,0,3,3
ACC00100,2023-01-20,18:52:32,Gujarat,Gujarat City 5,21.291031,69.956108,Pedestrian,1,Rainy,Expressway,Icy,Daylight,40,29,Female,Serious,0,2,1,3
ACC00101,2022-09-26,10:29:12,West Bengal,West Bengal City 4,21.876245,87.350299,Two-Wheeler,3,Clear,Highway,Muddy,Dark - Lit,100,74,Male,Minor,0,0,2,2
ACC00102,2023-09-29,20:03:19,Maharashtra,Maharashtra City 5,18.495277,76.830736,Bus,3,Clear,Highway,Wet,Daylight,60,34,Male,Minor,0,0,2,2
ACC00103,2022-11-12,18:08:43,Andhra Pradesh,Andhra Pradesh City 3,14.663551,80.031834,Auto-Rickshaw,4,Clear,Rural Road,Icy,Dawn/Dusk,60,73,Male,Minor,0,0,1,1
ACC00104,2024-07-24,20:04:15,Uttar Pradesh,Uttar Pradesh City 4,27.629866,81.043797,Car,2,Foggy,Bridge/Flyover,Muddy,Dark - Lit,30,31,Female,Minor,0,0,2,2
ACC00105,2024-04-29,12:22:28,Andhra Pradesh,Andhra Pradesh City 5,16.550049,80.925621,Truck,2,Foggy,Highway,Under Construction,Dark - Unlit,80,62,Female,Minor,0,0,3,3
ACC00106,2022-11-01,16:15:29,Madhya Pradesh,Madhya Pradesh City 4,22.197412,77.96773,Truck,1,Clear,Rural Road,Muddy,Dawn/Dusk,60,56,Female,Fatal,2,2,0,4
ACC00107,2023-01-22,08:41:40,Punjab,Punjab City 4,29.917613,75.446007,Car,1,Cloudy,Expressway,Dry,Dark - Unlit,100,46,Female,Minor,0,0,3,3
ACC00108,2024-02-20,14:03:24,Kerala,Kerala City 2,11.717514,76.265327,Bus,3,Rainy,Highway,Wet,Dark - Unlit,30,39,Female,Minor,0,0,2,2
ACC00109,2022-07-24,19:08:57,Andhra Pradesh,Andhra Pradesh City 4,15.546318,79.252341,Two-Wheeler,4,Rainy,City Road,Icy,Dark - Lit,30,51,Female,Serious,0,1,2,3
ACC00110,2023-06-27,12:19:35,Punjab,Punjab City 4,32.609546,75.657324,Bicycle,1,Clear,Highway,Under Construction,Dawn/Dusk,50,38,Female,Minor,0,0,3,3
ACC00111,2022-03-15,22:28:51,Tamil Nadu,Tamil Nadu City 2,11.093429,79.712453,Bicycle,2,Clear,Rural Road,Wet,Daylight,60,48,Male,Minor,0,0,3,3
ACC00112,2022-07-25,16:09:13,Uttar Pradesh,Uttar Pradesh City 3,25.590701,81.023534,Two-Wheeler,4,Foggy,Highway,Under Construction,Daylight,50,41,Female,Minor,0,0,1,1
ACC00113,2024-02-07,15:40:50,Uttar Pradesh,Uttar Pradesh City 2,27.077995,82.202187,Auto-Rickshaw,3,Cloudy,Expressway,Muddy,Dark - Lit,40,66,Male,Minor,0,0,2,2
ACC00114,2022-06-11,22:11:27,Haryana,Haryana City 4,29.56593,77.378128,Auto-Rickshaw,3,Rainy,City Road,Icy,Dark - Lit,40,43,Female,Minor,0,0,2,2
ACC00115,2023-06-05,16:43:56,Delhi,Delhi City 1,27.761131,76.571038,Pedestrian,3,Clear,Expressway,Under Construction,Dark - Lit,30,37,Female,Minor,0,0,1,1
ACC00116,2023-12-09,21:23:34,Delhi,Delhi City 4,29.32169,77.903339,Bicycle,2,Rainy,Rural Road,Icy,Dark - Unlit,40,28,Female,Minor,0,0,3,3
ACC00117,2024-09-16,03:52:59,Karnataka,Karnataka City 4,13.975471,75.219813,Auto-Rickshaw,2,Rainy,Rural Road,Muddy,Dark - Unlit,100,27,Female,Fatal,1,2,0,3
ACC00118,2022-02-14,23:57:55,Rajasthan,Rajasthan City 3,26.283922,74.764508,Two-Wheeler,1,Clear,Bridge/Flyover,Dry,Dawn/Dusk,50,32,Male,Fatal,1,1,1,3
ACC00119,2023-12-23,07:58:25,Kerala,Kerala City 2,11.732868,75.090098,Auto-Rickshaw,1,Cloudy,Rural Road,Wet,Daylight,100,61,Male,Minor,0,0,3,3
ACC00120,2023-09-25,16:02:59,Maharashtra,Maharashtra City 5,20.442602,77.025021,Truck,4,Clear,City Road,Dry,Dark - Unlit,50,18,Female,Minor,0,0,1,1
ACC00121,2022-12-26,07:18:38,Uttar Pradesh,Uttar Pradesh City 5,25.769317,81.835802,Truck,2,Cloudy,Bridge/Flyover,Muddy,Dark - Unlit,40,52,Female,Serious,0,2,0,2
ACC00122,2024-09-13,10:44:44,Telangana,Telangana City 3,17.317075,79.421276,Pedestrian,2,Clear,Highway,Icy,Daylight,40,62,Male,Minor,0,0,1,1
ACC00123,2024-03-24,20:17:28,Gujarat,Gujarat City 1,22.901347,72.389002,Pedestrian,1,Clear,Expressway,Dry,Dark - Unlit,80,40,Male,Serious,0,2,2,4
ACC00124,2024-07-20,13:25:11,Kerala,Kerala City 3,10.046638,77.468724,Auto-Rickshaw,3,Rainy,Expressway,Under Construction,Daylight,100,70,Male,Minor,0,0,1,1
ACC00125,2024-08-23,00:54:40,Punjab,Punjab City 5,30.944584,74.838447,Truck,3,Clear,Bridge/Flyover,Wet,Daylight,100,69,Female,Fatal,3,2,0,5
ACC00126,2023-09-11,23:38:17,Rajasthan,Rajasthan City 3,27.120383,75.401678,Car,4,Clear,Highway,Icy,Dark - Unlit,60,46,Male,Serious,0,1,0,1
ACC00127,2022-07-19,08:32:55,Andhra Pradesh,Andhra Pradesh City 5,16.745716,78.669384,Car,4,Rainy,Expressway,Icy,Dark - Unlit,100,27,Female,Minor,0,0,1,1
ACC00128,2022-11-13,15:06:19,Kerala,Kerala City 1,10.376245,77.233772,Pedestrian,3,Clear,Expressway,Muddy,Dawn/Dusk,50,62,Male,Minor,0,0,2,2
ACC00129,2024-01-29,07:54:37,West Bengal,West Bengal City 4,23.881886,86.809752,Car,3,Clear,Rural Road,Dry,Dark - Unlit,80,62,Female,Minor,0,0,3,3
ACC00130,2022-05-05,14:29:44,Delhi,Delhi City 2,29.281845,77.228173,Two-Wheeler,3,Rainy,Expressway,Dry,Dark - Lit,100,37,Male,Serious,0,3,2,5
ACC00131,2022-04-14,12:08:33,Karnataka,Karnataka City 2,14.847573,74.892053,Pedestrian,3,Rainy,Bridge/Flyover,Wet,Daylight,80,63,Male,Minor,0,0,2,2
ACC00132,2023-03-19,08:28:59,Gujarat,Gujarat City 2,21.177349,69.992384,Pedestrian,1,Clear,Bridge/Flyover,Dry,Dark - Unlit,40,60,Male,Serious,0,2,0,2
ACC00133,2023-05-29,06:21:11,Tamil Nadu,Tamil Nadu City 1,11.584102,79.47374,Car,3,Rainy,Highway,Under Construction,Dark - Lit,80,71,Female,Fatal,1,0,1,2
ACC00134,2022-02-02,06:20:38,Delhi,Delhi City 1,30.003101,78.376706,Car,3,Clear,Expressway,Muddy,Daylight,100,54,Male,Minor,0,0,2,2
ACC00135,2024-09-02,16:19:16,Bihar,Bihar City 3,26.362526,86.419689,Auto-Rickshaw,3,Clear,Bridge/Flyover,Dry,Dawn/Dusk,80,32,Male,Fatal,2,1,0,3
ACC00136,2022-03-30,23:59:23,Madhya Pradesh,Madhya Pradesh City 3,23.702749,77.776739,Bus,1,Clear,Highway,Dry,Dawn/Dusk,60,58,Female,Minor,0,0,1,1
ACC00137,2022-08-10,17:51:00,Telangana,Rajasthan City 3,19.200554,80.288881,Two-Wheeler,3,Clear,Highway,Icy,Dark - Lit,30,46,Male,Minor,0,0,1,1
ACC00138,2023-07-18,22:43:50,Kerala,Kerala City 5,12.088248,75.514679,Auto-Rickshaw,1,Rainy,Rural Road,Icy,Dark - Unlit,60,23,Female,Fatal,3,2,1,6
ACC00139,2022-07-23,04:09:56,Haryana,Haryana City 5,28.647182,76.331765,Bicycle,2,Clear,City Road,Icy,Dawn/Dusk,40,67,Female,Minor,0,0,1,1
ACC00140,2023-11-26,16:30:41,Rajasthan,Rajasthan City 4,28.403211,73.165988,Bicycle,2,Cloudy,Highway,Under Construction,Dawn/Dusk,50,57,Female,Serious,0,3,0,3
ACC00141,2024-02-06,05:33:26,Kerala,Kerala City 4,10.279811,75.961954,Two-Wheeler,3,Clear,Highway,Dry,Daylight,60,36,Male,Minor,0,0,1,1
ACC00142,2024-02-03,04:44:14,Madhya Pradesh,Madhya Pradesh City 1,22.042063,77.269649,Auto-Rickshaw,2,Cloudy,Bridge/Flyover,Muddy,Dark - Unlit,100,36,Male,Minor,0,0,2,2
ACC00143,2024-04-21,12:52:26,Haryana,Haryana City 4,29.702178,76.172943,Pedestrian,2,Clear,Highway,Under Construction,Dark - Unlit,50,67,Male,Minor,0,0,2,2
